hospital_id,treatment_id,estimated_cost
1,102,38400
1,107,176000
1,113,24000
1,114,2080
2,102,24000
2,107,110000
2,113,15000
2,114,1300
3,102,24000
3,107,110000
3,113,15000
3,114,1300
4,102,28800
4,107,132000
4,113,18000
4,114,1560
5,102,28800
5,107,132000
5,113,18000
5,114,1560
6,102,38400
6,107,176000
6,113,24000
6,114,2080
7,102,24000
7,107,110000
7,113,15000
7,114,1300
8,102,28800
8,107,132000
8,113,18000
8,114,1560
9,102,24000
9,107,110000
9,113,15000
9,114,1300
10,102,28800
10,107,132000
10,113,18000
10,114,1560
11,102,24000
11,107,110000
11,113,15000
11,114,1300
12,102,24000
12,107,110000
12,113,15000
12,114,1300
13,102,24000
13,107,110000
13,113,15000
13,114,1300
14,102,24000
14,107,110000
14,113,15000
14,114,1300
15,102,28800
15,107,132000
15,113,18000
15,114,1560
16,102,28800
16,107,132000
16,113,18000
16,114,1560
17,102,28800
17,107,132000
17,113,18000
17,114,1560
18,102,28800
18,107,132000
18,113,18000
18,114,1560
19,102,28800
19,107,132000
19,113,18000
19,114,1560
20,102,28800
20,107,132000
20,113,18000
20,114,1560
21,102,28800
21,107,132000
21,113,18000
21,114,1560
22,102,24000
22,107,110000
22,113,15000
22,114,1300
23,102,28800
23,107,132000
23,113,18000
23,114,1560
24,102,24000
24,107,110000
24,113,15000
24,114,1300
25,102,24000
25,107,110000
25,113,15000
25,114,1300
26,102,28800
26,107,132000
26,113,18000
26,114,1560
27,102,28800
27,107,132000
27,113,18000
27,114,1560
28,102,24000
28,107,110000
28,113,15000
28,114,1300
29,102,28800
29,107,132000
29,113,18000
29,114,1560
30,102,24000
30,107,110000
30,113,15000
30,114,1300
31,102,28800
31,107,132000
31,113,18000
31,114,1560
32,102,28800
32,107,132000
32,113,18000
32,114,1560
33,102,24000
33,107,110000
33,113,15000
33,114,1300
34,102,28800
34,107,132000
34,113,18000
34,114,1560
35,102,24000
35,107,110000
35,113,15000
35,114,1300
36,102,24000
36,107,110000
36,113,15000
36,114,1300
37,102,28800
37,107,132000
37,113,18000
37,114,1560
38,102,28800
38,107,132000
38,113,18000
38,114,1560
39,102,24000
39,107,110000
39,113,15000
39,114,1300
40,102,28800
40,107,132000
40,113,18000
40,114,1560
41,102,24000
41,107,110000
41,113,15000
41,114,1300
42,102,28800
42,107,132000
42,113,18000
42,114,1560
43,102,24000
43,107,110000
43,113,15000
43,114,1300
44,102,28800
44,107,132000
44,113,18000
44,114,1560
45,102,28800
45,107,132000
45,113,18000
45,114,1560
46,102,28800
46,107,132000
46,113,18000
46,114,1560
47,102,28800
47,107,132000
47,113,18000
47,114,1560
48,102,28800
48,107,132000
48,113,18000
48,114,1560
49,102,24000
49,107,110000
49,113,15000
49,114,1300
50,102,24000
50,107,110000
50,113,15000
50,114,1300
51,102,28800
51,107,132000
51,113,18000
51,114,1560
52,102,28800
52,107,132000
52,113,18000
52,114,1560
53,102,24000
53,107,110000
53,113,15000
53,114,1300
54,102,24000
54,107,110000
54,113,15000
54,114,1300
55,102,28800
55,107,132000
55,113,18000
55,114,1560
56,102,28800
56,107,132000
56,113,18000
56,114,1560
57,102,24000
57,107,110000
57,113,15000
57,114,1300
58,102,24000
58,107,110000
58,113,15000
58,114,1300
59,102,28800
59,107,132000
59,113,18000
59,114,1560
60,102,28800
60,107,132000
60,113,18000
60,114,1560
61,102,24000
61,107,110000
61,113,15000
61,114,1300
62,102,28800
62,107,132000
62,113,18000
62,114,1560
63,102,24000
63,107,110000
63,113,15000
63,114,1300
64,102,28800
64,107,132000
64,113,18000
64,114,1560
65,102,28800
65,107,132000
65,113,18000
65,114,1560
66,102,24000
66,107,110000
66,113,15000
66,114,1300
67,102,28800
67,107,132000
67,113,18000
67,114,1560
68,102,24000
68,107,110000
68,113,15000
68,114,1300
69,102,28800
69,107,132000
69,113,18000
69,114,1560
70,102,24000
70,107,110000
70,113,15000
70,114,1300
71,102,28800
71,107,132000
71,113,18000
71,114,1560
72,102,28800
72,107,132000
72,113,18000
72,114,1560
73,102,24000
73,107,110000
73,113,15000
73,114,1300
74,102,28800
74,107,132000
74,113,18000
74,114,1560
75,102,28800
75,107,132000
75,113,18000
75,114,1560
76,102,28800
76,107,132000
76,113,18000
76,114,1560
77,102,28800
77,107,132000
77,113,18000
77,114,1560
78,102,28800
78,107,132000
78,113,18000
78,114,1560
79,102,28800
79,107,132000
79,113,18000
79,114,1560
80,102,28800
80,107,132000
80,113,18000
80,114,1560
81,102,28800
81,107,132000
81,113,18000
81,114,1560
82,102,28800
82,107,132000
82,113,18000
82,114,1560
83,102,28800
83,107,132000
83,113,18000
83,114,1560
84,102,24000
84,107,110000
84,113,15000
84,114,1300
85,102,28800
85,107,132000
85,113,18000
85,114,1560
86,102,28800
86,107,132000
86,113,18000
86,114,1560
87,102,24000
87,107,110000
87,113,15000
87,114,1300
88,102,28800
88,107,132000
88,113,18000
88,114,1560
89,102,28800
89,107,132000
89,113,18000
89,114,1560
90,102,28800
90,107,132000
90,113,18000
90,114,1560
91,102,28800
91,107,132000
91,113,18000
91,114,1560
92,102,28800
92,107,132000
92,113,18000
92,114,1560
93,102,28800
93,107,132000
93,113,18000
93,114,1560
94,102,28800
94,107,132000
94,113,18000
94,114,1560
95,102,24000
95,107,110000
95,113,15000
95,114,1300
96,102,24000
96,107,110000
96,113,15000
96,114,1300
97,102,24000
97,107,110000
97,113,15000
97,114,1300
98,102,28800
98,107,132000
98,113,18000
98,114,1560
99,102,28800
99,107,132000
99,113,18000
99,114,1560
100,102,24000
100,107,110000
100,113,15000
100,114,1300
101,102,28800
101,107,132000
101,113,18000
101,114,1560
102,102,28800
102,107,132000
102,113,18000
