name,address,District Name,is_nabh_accredited,hospital_tier,google_rating,google_ratings_total,latitude,longitude,hospital_id
Shivalik Medical Centre Pvt Ltd,"Shivalik Medical Centre Pvt Ltd, GAUTAM BUDDHA NAGAR, UTTAR PRADESH",GAUTAM BUDDHA NAGAR,True,A,4.2,181,28.368716,77.5970121,1
LNM RAILWAY HOSPITAL GORAKHPUR,"LNM RAILWAY HOSPITAL GORAKHPUR, GORAKHPUR, UTTAR PRADESH",GORAKHPUR,False,C,3.7,441,26.6677977,83.3642334,2
ESIC HOSPITAL VARANASI,"ESIC HOSPITAL VARANASI, VARANASI, UTTAR PRADESH",VARANASI,False,C,3.8,317,25.3356491,83.0076292,3
esic hospital jajmau kanpur,"esic hospital jajmau kanpur, KANPUR NAGAR, UTTAR PRADESH",KANPUR NAGAR,False,B,3.9,461,26.4410107,80.2652803,4
50 BEDDED CH. CRPF. RAMPUR,"50 BEDDED CH. CRPF. RAMPUR, RAMPUR, UTTAR PRADESH",RAMPUR,False,B,4.2,245,28.7934728,79.1845806,5
JEEVAN JYOTI HOSPITAL,"JEEVAN JYOTI HOSPITAL, Raebareli, UTTAR PRADESH",Raebareli,True,A,4.7,54,26.2086768,81.2186298,6
NTPC HOSPITAL TANDA,"NTPC HOSPITAL TANDA, AMBEDKAR NAGAR, UTTAR PRADESH",AMBEDKAR NAGAR,False,C,3.8,196,26.4045941,82.6065154,7
Dhanwantari Hospital NTPC Rihand,"Dhanwantari Hospital NTPC Rihand, SONBHADRA, UTTAR PRADESH",SONBHADRA,False,B,3.9,438,24.4148159,83.0637517,8
BHEL JHANSI HOSPITAL,"BHEL JHANSI HOSPITAL, JHANSI, UTTAR PRADESH",JHANSI,False,C,3.7,353,25.529855,78.6527802,9
SUB DIVISIONAL RAILWAY HOSPITAL TUNDLA,"SUB DIVISIONAL RAILWAY HOSPITAL TUNDLA, FIROZABAD, UTTAR PRADESH",FIROZABAD,False,B,3.9,134,27.1941954,78.4604956,10
N.E. Railway Divisional Hospital,"N.E. Railway Divisional Hospital, VARANASI, UTTAR PRADESH",VARANASI,False,C,3.6,292,25.3356491,83.0076292,11
Divisional Railway Hospital Moradabad ,"Divisional Railway Hospital Moradabad , MORADABAD, UTTAR PRADESH",MORADABAD,False,C,3.7,206,28.8796553,78.8095335,12
SUB DIVISIONAL RAILWAY HOSPITAL GONDA,"SUB DIVISIONAL RAILWAY HOSPITAL GONDA, GONDA, UTTAR PRADESH",GONDA,False,C,3.8,449,27.1103723,81.9238906,13
Divisional railway hospital,"Divisional railway hospital, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.7,418,28.4582344,79.4047452,14
Divisional Railway Hospital DDU,"Divisional Railway Hospital DDU, CHANDAULI, UTTAR PRADESH",CHANDAULI,False,B,4.1,95,25.125695,83.2494601,15
Divisional Railway Hospital,"Divisional Railway Hospital, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.2,428,26.821399,80.9241858,16
LUCKNOW NORTHERN RAILWAY DIVISIONAL HOSPITAL,"LUCKNOW NORTHERN RAILWAY DIVISIONAL HOSPITAL, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.0,405,26.8381,80.9346001,17
UCHC INDIRA NAGAR LUCKNOW,"UCHC INDIRA NAGAR LUCKNOW, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.3,121,26.8381,80.9346001,18
UCHC ALIGANJ,"UCHC ALIGANJ, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.2,430,26.8879162,80.9369498,19
URBAN COMMUNITY HEALTH CENTER NAWAL KISHOR ROAD HAZRATGANJ LUCKNOW,"URBAN COMMUNITY HEALTH CENTER NAWAL KISHOR ROAD HAZRATGANJ LUCKNOW, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.0,90,26.8381,80.9346001,20
UCHC CHANDARNAGAR ALAMBAGH LUCKNOW ,"UCHC CHANDARNAGAR ALAMBAGH LUCKNOW , LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.2,91,26.8381,80.9346001,21
CHC FAREEDPUR,"CHC FAREEDPUR, BAREILLY, UTTAR PRADESH",BAREILLY,False,C,3.8,257,28.2033439,79.5407528,22
CHC MALL,"CHC MALL, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,4.0,377,27.0215987,80.7416736,23
BRD HOSPITAL MAHANAGAR LUCKNOW,"BRD HOSPITAL MAHANAGAR LUCKNOW, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.7,352,26.8381,80.9346001,24
VEERANGANA AVANTI BAI MAHIL HOSPITAL LUCKNOW 226018,"VEERANGANA AVANTI BAI MAHIL HOSPITAL LUCKNOW 226018, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.7,309,26.8381,80.9346001,25
DISTT MMG HOSPITAL GHAZIABAD,"DISTT MMG HOSPITAL GHAZIABAD, GHAZIABAD, UTTAR PRADESH",GHAZIABAD,False,B,4.1,101,28.7749966,77.4586967,26
community helth center,"community helth center, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,B,3.9,492,26.8381,80.9346001,27
chc mohanlalganj,"chc mohanlalganj, LUCKNOW, UTTAR PRADESH",LUCKNOW,False,C,3.8,396,26.6858776,80.9820928,28
